logical line,EETS stanza,EETS sect.&st.,Myklebust line,Sch√ºmmer stanza
4033,504,3m10.2,3.1433,248
4041,505,3m10.3,3.1441,
4049,506,3m10.4,3.1449,
4057,507,3p11.1,3.1457,
4065,508,3p11.2,3.1465,
4073,509,3p11.3,3.1473,
4081,510,3p11.4,3.1481,
4089,511,3p11.5,3.1489,
4097,512,3p11.6,3.1497,
4105,513,3p11.7,3.1505,
4113,514,3p11.8,3.1513,
4121,515,3p11.9,3.1521,
4129,516,3p11.10,3.1529,
4137,517,3p11.11,3.1537,
4145,518,3p11.12,3.1545,
4153,519,3p11.13,3.1553,
4161,520,3p11.14,3.1561,
4169,521,3p11.15,3.1569,
4177,522,3p11.16,3.1577,
4185,523,3p11.17,3.1585,
4193,524,3p11.18,3.1593,
4201,525,3p11.19,3.1601,
4209,526,3p11.20,3.1609,
4217,527,3p11.21,3.1617,
4225,528,3p11.22,3.1625,
4233,529,3p11.23,3.1633,
4241,530,3p11.24,3.1641,
4249,531,3p11.25,3.1649,
4257,532,3p11.26,3.1657,
4265,533,3p11.27,3.1665,
4273,534,3p11.28,3.1673,
4281,535,3p11.29,3.1681,
4289,536,3m11.1,3.1689,
4297,537,3m11.2,3.1697,
4305,538,3m11.3,3.1705,
4313,539,3m11.4,3.1713,
4321,540,3p12.1,3.1721,
4329,541,3p12.2,3.1729,
4337,542,3p12.3,3.1737,
4345,543,3p12.4,3.1745,
4353,544,3p12.5,3.1753,
4361,545,3p12.6,3.1761,
4369,546,3p12.7,3.1769,
4377,547,3p12.8,3.1777,
4385,548,3p12.9,3.1785,
4393,549,3p12.10,3.1793,
4401,550,3p12.11,3.1801,
4409,551,3p12.12,3.1809,
4417,552,3p12.13,3.1817,
4425,553,3p12.14,3.1825,
4433,554,3p12.15,3.1833,
4441,555,3p12.16,3.1841,
4449,556,3p12.17,3.1849,
4457,557,3p12.18,3.1857,
4465,558,3p12.19,3.1865,
4473,559,3p12.20,3.1873,
4481,560,3p12.21,3.1881,
4489,561,3p12.22,3.1889,
4497,562,3m12.1,3.1897,
4505,563,3m12.2,3.1905,
4513,564,3m12.3,3.1913,
4521,565,3m12.4,3.1921,
4529,566,3m12.5,3.1929,
4537,567,3m12.6,3.1937,
4545,568,3m12.7,3.1945,
4553,569,3m12.8,3.1953,
4561,570,3m12.9,3.1961,
4569,571,3m12.10,3.1969,
4577,572,3m12.11,3.1977,
4585,573,3m12.12,3.1985,
4593,574,Pref2.1,P2.1,249
4600,575,Pref2.2,P2.8,250
4607,576,Pref2.3,P2.15,251
4614,577,Pref2.4,P2.22,252
4621,578,Pref2.5,P2.29,253
4628,579,Pref2.6,P2.36,254
4635,580,Pref2.7,P2.43,255
4642,581,Pref2.8,P2.50,256
4649,582,Pref2.9,P2.57,257
4656,583,4p1.1,4.64,
4663,584,4p1.2,4.71,
4670,585,4p1.3,4.78,
4677,586,4p1.4,4.85,
4684,587,4p1.5,4.92,
4691,588,4p1.6,4.99,
4698,589,4p1.7,4.106,
4705,590,4p1.8,4.113,
4712,591,4p1.9,4.120,
4719,592,4m1.1,4.127,
4726,593,4m1.2,4.134,
4733,594,4m1.3,4.141,
4740,595,4m1.4,4.148,
4747,596,4m1.5,4.155,
4754,597,4m1.6,4.162,
4761,598,4p2.1,4.169,
4768,599,4p2.2,4.176,
4775,600,4p2.3,4.183,
4782,601,4p2.4,4.190,
4789,602,4p2.5,4.197,
4796,603,4p2.6,4.204,
4803,604,4p2.7,4.211,
4810,605,4p2.8,4.218,
4817,606,4p2.9,4.225,
4824,607,4p2.10,4.232,
4831,608,4p2.11,4.239,
4838,609,4p2.12,4.246,
4845,610,4p2.13,4.253,
4852,611,4p2.14,4.260,
4859,612,4p2.15,4.267,
4866,613,4p2.16,4.274,
4873,614,4p2.17,4.281,
4880,615,4p2.18,4.288,
4887,616,4p2.19,4.295,
4894,617,4p2.20,4.302,
4901,618,4p2.21,4.309,
4908,619,4p2.22,4.316,
4915,620,4p2.23,4.323,
4922,621,4p2.24,4.330,
4929,622,4p2.25,4.337,
4936,623,4p2.26,4.344,
4943,624,4p2.27,4.351,
4950,625,4p2.28,4.358,
4957,626,4p2.29,4.365,
4964,627,4p2.30,4.372,
4971,628,4p2.31,4.379,
4978,629,4p2.32,4.386,
4985,630,4p2.33,4.393,
4992,631,4p2.34,4.400,
4999,632,4p2.35,4.407,
5006,633,4p2.36,4.414,
5013,634,4p2.37,4.421,
5020,635,4p2.38,4.428,
5027,636,4m2.1,4.435,
5034,637,4m2.2,4.442,
5041,638,4m2.3,4.449,
5048,639,4p3.1,4.456,
5055,640,4p3.2,4.463,
5062,641,4p3.3,4.470,
5069,642,4p3.4,4.477,
5076,643,4p3.5,4.484,
5083,644,4p3.6,4.491,
5090,645,4p3.7,4.498,
5097,646,4p3.8,4.505,
5104,647,4p3.9,4.512,
5111,648,4p3.10,4.519,
5118,649,4p3.11,4.526,
5125,650,4p3.12,4.533,
5132,651,4p3.13,4.540,
5139,652,4p3.14,4.547,
5146,653,4p3.15,4.554,
5153,654,4p3.16,4.561,
5160,655,4p3.17,4.568,
5167,656,4p3.18,4.575,
5174,657,4p3.19,4.582,
5181,658,4m3.1,4.589,
5188,659,4m3.2,4.596,
5195,660,4m3.3,4.603,
5202,661,4m3.4,4.610,
5209,662,4m3.5,4.617,
5216,663,4m3.6,4.624,
5223,664,4m3.7,4.631,
5230,665,4p4.1,4.638,
5237,666,4p4.2,4.645,
5244,667,4p4.3,4.652,
5251,668,4p4.4,4.659,
5258,669,4p4.5,4.666,
5265,670,4p4.6,4.673,
5272,671,4p4.7,4.680,
5279,672,4p4.8,4.687,
5286,673,4p4.9,4.694,
5293,674,4p4.10,4.701,
5300,675,4p4.11,4.708,
5307,676,4p4.12,4.715,
5314,677,4p4.13,4.722,
5321,678,4p4.14,4.729,
5328,679,4p4.15,4.736,
5335,680,4p4.16,4.743,
5342,681,4p4.17,4.750,
5349,682,4p4.18,4.757,
5356,683,4p4.19,4.764,
5363,684,4p4.20,4.771,
5370,685,4p4.21,4.778,
5377,686,4p4.22,4.785,
5384,687,4p4.23,4.792,
5391,688,4p4.24,4.799,
5398,689,4p4.25,4.806,
5405,690,4p4.26,4.813,
5412,691,4p4.27,4.820,
5419,692,4p4.28,4.827,
5426,693,4p4.29,4.834,
5433,694,4p4.30,4.841,
5440,695,4p4.31,4.848,
5447,696,4p4.32,4.855,
5454,697,4p4.33,4.862,
5461,698,4p4.34,4.869,
5468,699,4p4.35,4.876,
5475,700,4p4.36,4.883,
5482,701,4p4.37,4.890,
5489,702,4p4.38,4.897,
5496,703,4p4.39,4.904,
5503,704,4p4.40,4.911,
5510,705,4p4.41,4.918,
5517,706,4p4.42,4.925,
5524,707,4p4.43,4.932,
5531,708,4p4.44,4.939,
5538,709,4p4.45,4.946,
5545,710,4m4.1,4.953,
5552,711,4m4.2,4.960,
5559,712,4p5.1,4.967,
5566,713,4p5.2,4.974,
5573,714,4p5.3,4.981,
5580,715,4p5.4,4.988,
5587,716,4p5.5,4.995,
5594,717,4p5.6,4.1002,
5601,718,4p5.7,4.1009,
5608,719,4p5.8,4.1016,
5615,720,4m5.1,4.1023,
5622,721,4m5.2,4.1030,
5629,722,4m5.3,4.1037,
5636,723,4m5.4,4.1044,
5643,724,4p6.1,4.1051,
5650,725,4p6.2,4.1058,
5657,726,4p6.3,4.1065,
5664,727,4p6.4,4.1072,
5671,728,4p6.5,4.1079,
5678,729,4p6.6,4.1086,
5685,730,4p6.7,4.1093,
5692,731,4p6.8,4.1100,
5699,732,4p6.9,4.1107,
5706,733,4p6.10,4.1114,
5713,734,4p6.11,4.1121,
5720,735,4p6.12,4.1128,
5727,736,4p6.13,4.1135,
5734,737,4p6.14,4.1142,
5741,738,4p6.15,4.1149,
5748,739,4p6.16,4.1156,
5755,740,4p6.17,4.1163,
5762,741,4p6.18,4.1170,
5769,742,4p6.19,4.1177,
5776,743,4p6.20,4.1184,
5783,744,4p6.21,4.1191,
5790,745,4p6.22,4.1198,
5797,746,4p6.23,4.1205,
5804,747,4p6.24,4.1212,
5811,748,4p6.25,4.1219,
5818,749,4p6.26,4.1226,
5825,750,4p6.27,4.1233,
5832,751,4p6.28,4.1240,
5839,752,4p6.29,4.1247,
5846,753,4p6.30,4.1254,
5853,754,4p6.31,4.1261,
5860,755,4p6.32,4.1268,
5867,756,4p6.33,4.1275,
5874,757,4p6.34,4.1282,
5881,758,4p6.35,4.1289,
5888,759,4p6.36,4.1296,
5895,760,4p6.37,4.1303,
5902,761,4p6.38,4.1310,
5909,762,4p6.39,4.1317,
5916,763,4p6.40,4.1324,
5923,764,4p6.41,4.1331,
5930,765,4p6.42,4.1338,
5937,766,4p6.43,4.1345,
5944,767,4p6.44,4.1352,
5951,768,4p6.45,4.1359,
5958,769,4p6.46,4.1366,
5965,770,4p6.47,4.1373,
5972,771,4p6.48,4.1380,
5979,772,4p6.49,4.1387,
5986,773,4p6.50,4.1394,
5993,774,4p6.51,4.1401,
6000,775,4p6.52,4.1408,
6007,776,4p6.53,4.1415,
6014,777,4p6.54,4.1422,
6021,778,4p6.55,4.1429,
6028,779,4p6.56,4.1436,
6035,780,4p6.57,4.1443,
6042,781,4p6.58,4.1450,
6049,782,4p6.59,4.1457,
6056,783,4p6.60,4.1464,
6063,784,4p6.61,4.1471,
6070,785,4p6.62,4.1478,
6077,786,4p6.63,4.1485,
6084,787,4m6.1,4.1492,
6091,788,4m6.2,4.1499,
6098,789,4m6.3,4.1506,
6105,790,4m6.4,4.1513,
6112,791,4m6.5,4.1520,
6119,792,4m6.6,4.1527,
6126,793,4m6.7,4.1534,
6133,794,4m6.8,4.1541,
6140,795,4p7.1,4.1548,
6147,796,4p7.2,4.1555,
6154,797,4p7.3,4.1562,
6161,798,4p7.4,4.1569,
6168,799,4p7.5,4.1576,
6175,800,4p7.6,4.1583,
6182,801,4p7.7,4.1590,
6189,802,4p7.8,4.1597,
6196,803,4p7.9,4.1604,
6203,804,4p7.10,4.1611,
6210,805,4p7.11,4.1618,
6217,806,4p7.12,4.1625,
6224,807,4p7.13,4.1632,
6231,808,4p7.14,4.1639,
6238,809,4p7.15,4.1646,
6245,810,4m7.1,4.1653,
6252,811,4m7.2,4.1660,
6259,812,4m7.3,4.1667,
6266,813,4m7.4,4.1674,
6273,814,4m7.5,4.1681,
6280,815,4m7.6,4.1688,
6287,816,4m7.7,4.1695,
6294,817,4m7.8,4.1702,
6301,818,4m7.9,4.1709,
6308,819,5p1.1,5.1,
6315,820,5p1.2,5.8,
6322,821,5p1.3,5.15,
6329,822,5p1.4,5.22,
6336,823,5p1.5,5.29,
6343,824,5p1.6,5.36,
6350,825,5p1.7,5.43,
6357,826,5p1.8,5.50,
6364,827,5p1.9,5.57,
6371,828,5p1.10,5.64,
6378,829,5p1.11,5.71,
6385,830,5p1.12,5.78,
6392,831,5p1.13,5.85,
6399,832,5p1.14,5.92,
6406,833,5p1.15,5.99,
6413,834,5p1.16,5.106,
6420,835,5m1.1,5.113,
6427,836,5m1.2,5.120,
6434,837,5m1.3,5.127,
6441,838,5p2.1,5.134,
6448,839,5p2.2,5.141,
6455,840,5p2.3,5.148,
6462,841,5p2.4,5.155,
6469,842,5p2.5,5.162,
6476,843,5p2.6,5.169,
6483,844,5p2.7,5.176,
6490,845,5m2.1,5.183,
6497,846,5m2.2,5.190,
6504,847,5p3.1,5.197,
6511,848,5p3.2,5.204,
6518,849,5p3.3,5.211,
6525,850,5p3.4,5.218,
6532,851,5p3.5,5.225,
6539,852,5p3.6,5.232,
6546,853,5p3.7,5.239,
6553,854,5p3.8,5.246,
6560,855,5p3.9,5.253,
6567,856,5p3.10,5.260,
6574,857,5p3.11,5.267,
6581,858,5p3.12,5.274,
6588,859,5p3.13,5.281,
6595,860,5p3.14,5.288,
6602,861,5p3.15,5.295,
6609,862,5p3.16,5.302,
6616,863,5p3.17,5.309,
6623,864,5p3.18,5.316,
6630,865,5p3.19,5.323,
6637,866,5p3.20,5.330,
6644,867,5p3.21,5.337,
6651,868,5p3.22,5.344,
6658,869,5p3.23,5.351,
6665,870,5p3.24,5.358,
6672,871,5p3.25,5.365,
6679,872,5p3.26,5.372,
6686,873,5p3.27,5.379,
6693,874,5p3.28,5.386,
6700,875,5p3.29,5.393,
6707,876,5p3.30,5.400,
6714,877,5m3.1,5.407,258
6721,878,5m3.2,5.414,259
6728,879,5m3.3,5.421,260
6735,880,5m3.4,5.428,261
6742,881,5m3.5,5.435,262
6749,882,5m3.6,5.442,263
6756,883,5m3.7,5.449,264
6763,884,5p4.1,5.456,265
6770,885,5p4.2,5.463,266
6777,886,5p4.3,5.470,267
6784,887,5p4.4,5.477,268
6791,888,5p4.5,5.484,269
6798,889,5p4.6,5.491,270
6805,890,5p4.7,5.498,271
6812,891,5p4.8,5.505,272
6819,892,5p4.9,5.512,273
6826,893,5p4.10,5.519,274
6833,894,5p4.11,5.526,275
6840,895,5p4.12,5.533,276
6847,896,5p4.13,5.540,277
6854,897,5p4.14,5.547,278
6861,898,5p4.15,5.554,279
6868,899,5p4.16,5.561,280
6875,900,5p4.17,5.568,281
6882,901,5p4.18,5.575,282
6889,902,5p4.19,5.582,283
6896,903,5p4.20,5.589,284
6903,904,5p4.21,5.596,285
6910,905,5p4.22,5.603,286
6917,906,5p4.23,5.610,287
6924,907,5p4.24,5.617,288
6931,908,5p4.25,5.624,289
6938,909,5p4.26,5.631,290
6945,910,5p4.27,5.638,291
6952,911,5p4.28,5.645,292
6959,912,5p4.29,5.652,293
6966,913,5p4.30,5.659,294
6973,914,5p4.31,5.666,295
6980,915,5p4.32,5.673,296
6987,916,5p4.33,5.680,297
6994,917,5p4.34,5.687,298
7001,918,5m4.1,5.694,299
7008,919,5m4.2,5.701,300
7015,920,5m4.3,5.708,301
7022,921,5m4.4,5.715,302
7029,922,5m4.5,5.722,303
7036,923,5m4.6,5.729,304
7043,924,5m4.7,5.736,305
7050,925,5m4.8,5.743,306
7057,926,5p5.1,5.750,307
7064,927,5p5.2,5.757,308
7071,928,5p5.3,5.764,309
7078,929,5p5.4,5.771,310
7085,930,5p5.5,5.778,311
7092,931,5p5.6,5.785,312
7099,932,5p5.7,5.792,313
7106,933,5p5.8,5.799,314
7113,934,5p5.9,5.806,315
7120,935,5p5.10,5.813,316
7127,936,5p5.11,5.820,317
7134,937,5p5.12,5.827,318
7141,938,5p5.13,5.834,319
7148,939,5p5.14,5.841,320
7155,940,5p5.15,5.848,321
7162,941,5p5.16,5.855,322
7169,942,5p5.17,5.862,323
7176,943,5m5.1,5.869,324
7183,944,5m5.2,5.876,325
7190,945,5m5.3,5.883,326
7197,946,5m5.4,5.890,327
7204,947,5m5.5,5.897,328
7211,948,5p6.1,5.904,329
7218,949,5p6.2,5.911,330
7225,950,5p6.3,5.918,331
7232,951,5p6.4,5.925,332
7239,952,5p6.5,5.932,333
7246,953,5p6.6,5.939,334
7253,954,5p6.7,5.946,335
7260,955,5p6.8,5.953,336
7267,956,5p6.9,5.960,337
7274,957,5p6.10,5.967,338
7281,958,5p6.11,5.974,339
7288,959,5p6.12,5.981,340
7295,960,5p6.13,5.988,341
7302,961,5p6.14,5.995,342
7309,962,5p6.15,5.1002,343
7316,963,5p6.16,5.1009,344
7323,964,5p6.17,5.1016,345
7330,965,5p6.18,5.1023,346
7337,966,5p6.19,5.1030,347
7344,967,5p6.20,5.1037,348
7351,968,5p6.21,5.1044,349
7358,969,5p6.22,5.1051,350
7365,970,5p6.23,5.1058,351
7372,971,5p6.24,5.1065,352
7379,972,5p6.25,5.1072,353
7386,973,5p6.26,5.1079,354
7393,974,5p6.27,5.1086,355
7400,975,5p6.28,5.1093,356
7407,976,5p6.29,5.1100,357
7414,977,5p6.30,5.1107,358
7421,978,5p6.31,5.1114,
7428,979,5p6.32,5.1121,
7435,980,5p6.33,5.1128,
7442,981,5p6.34,5.1135,
7449,982,5p6.35,5.1142,
7456,983,5p6.36,5.1149,
7463,984,5p6.37,5.1156,
7470,985,5p6.38,5.1163,
7477,986,5p6.39,5.1170,
7484,987,5p6.40,5.1177,
7491,988,5p6.41,5.1184,
7498,989,5p6.42,5.1191,
7505,990,5p6.43,5.1198,
7512,991,5p6.44,5.1205,
7519,992,5p6.45,5.1212,
7526,993,5p6.46,5.1219,
7533,994,5p6.47,5.1226,
7540,995,5p6.48,5.1233,
7547,996,5p6.49,5.1240,
7554,997,5p6.50,5.1247,
7561,998,5p6.51,5.1254,
7568,999,5p6.52,5.1261,
7575,1000,5p6.53,5.1268,
7582,1001,5p6.54,5.1275,
7589,1002,5p6.55,5.1282,
